country_code,year,ElectricityAccess_PercentofPopulation,CO2Emissions_Agriculture,CO2Emissions_TransportEnergy,CO2Emissions_Waste,ForestArea_PercentofLand,RenewableEnergy_Consumption_Percent,GreenhouseGasEmissions_TotalperCapita,id,country_name,region,regional_median
AUT,2023,0.0,0.0399,21.1419,0.0008,0.0,0.0,7.985480566,,Austria,Europe and Central Asia,6.5015912305
AUT,2021,100.0,0.0449,22.334,0.0008,47.1720795,36.0,9.013625476,,Austria,Europe and Central Asia,6.5015912305
AUT,2022,100.0,0.042,21.1922,0.0008,47.20613185,0.0,8.339940572,,Austria,Europe and Central Asia,6.5015912305
ISL,2021,100.0,0.0006,0.8748,0.0008,0.515719528,82.4,11.70084828,,Iceland,Europe and Central Asia,6.5015912305
MAC,2023,0.0,0.0,1.3807,0.0009,0.0,0.0,4.594873306,,"Macao SAR, China",East Asia and Pacific,3.598782713
MNG,2023,0.0,0.0,2.9069,0.0009,0.0,0.0,3.598782713,,Mongolia,East Asia and Pacific,3.598782713
BHS,2021,100.0,0.0,0.5414,0.0009,50.93506494,1.1,4.916581099,,"Bahamas, The",Latin America and the Caribbean,3.523066439
MAC,2021,100.0,0.0,1.247,0.0009,0.0,13.6,4.257435897,,"Macao SAR, China",East Asia and Pacific,3.598782713
MAC,2022,100.0,0.0,1.3253,0.0009,0.0,11.0,4.466410749,,"Macao SAR, China",East Asia and Pacific,3.598782713
MNG,2021,100.0,0.0,2.692,0.0009,9.09894466,3.0,19.88733771,,Mongolia,East Asia and Pacific,3.598782713
MNG,2022,100.0,0.0,2.8252,0.0009,9.098233215,0.0,19.47699715,,Mongolia,East Asia and Pacific,3.598782713
BHS,2023,0.0,0.0,0.5914,0.001,0.0,0.0,5.132936111,,"Bahamas, The",Latin America and the Caribbean,3.523066439
DNK,2023,0.0,0.0558,11.2366,0.001,0.0,0.0,7.034107556,,Denmark,Europe and Central Asia,6.5015912305
PNG,2023,0.0,0.0,2.5947,0.001,0.0,0.0,3.598782713,,Papua New Guinea,East Asia and Pacific,3.598782713
PNG,2022,19.0,0.0,2.4906,0.001,79.02817648,54.6,3.598782713,,Papua New Guinea,East Asia and Pacific,3.598782713
PNG,2021,20.9,0.0,2.3434,0.001,79.10221702,54.5,3.598782713,,Papua New Guinea,East Asia and Pacific,3.598782713
BHS,2022,100.0,0.0,0.5551,0.001,50.93506494,1.1,4.924057574,,"Bahamas, The",Latin America and the Caribbean,3.523066439
DNK,2021,100.0,0.0561,11.1979,0.001,15.7345,39.5,7.673390609,,Denmark,Europe and Central Asia,6.5015912305
DNK,2022,100.0,0.0587,11.1572,0.001,15.758,0.0,7.322688304,,Denmark,Europe and Central Asia,6.5015912305
GRL,2021,100.0,0.0,0.0854,0.001,0.000535997,11.6,10.82202178,,Greenland,Europe and Central Asia,6.5015912305
URY,2023,0.0,0.6611,4.0156,0.0014,0.0,0.0,12.28840161,,Uruguay,Latin America and the Caribbean,3.523066439
KEN,2022,76.0,0.1983,10.5947,0.0014,6.344818498,0.0,1.562588886,,Kenya,Sub-Saharan Africa,1.562588886
KEN,2021,76.5,0.1965,10.8216,0.0014,6.344818498,67.7,1.562588886,,Kenya,Sub-Saharan Africa,1.562588886
URY,2021,100.0,0.6021,3.887,0.0014,11.72437436,57.8,12.53315355,,Uruguay,Latin America and the Caribbean,3.523066439
URY,2022,100.0,0.6299,3.9726,0.0014,11.84436064,0.0,12.4308409,,Uruguay,Latin America and the Caribbean,3.523066439
ETH,2023,0.0,0.4723,6.6374,0.0016,0.0,0.0,1.562588886,,Ethiopia,Sub-Saharan Africa,1.562588886
ETH,2022,55.0,0.4364,6.6325,0.0016,14.99462063,0.0,1.562588886,,Ethiopia,Sub-Saharan Africa,1.562588886
BGR,2022,100.0,0.7964,9.5364,0.0016,36.09985262,0.0,9.668744141,,Bulgaria,Europe and Central Asia,6.5015912305
BRN,2023,0.0,0.0,1.2412,0.0018,0.0,0.0,3.598782713,,Brunei Darussalam,East Asia and Pacific,3.598782713
BRN,2021,100.0,0.0,1.1522,0.0018,72.10626186,0.0,3.598782713,,Brunei Darussalam,East Asia and Pacific,3.598782713
BRN,2022,100.0,0.0,1.2085,0.0018,72.10626186,0.0,3.598782713,,Brunei Darussalam,East Asia and Pacific,3.598782713
GRC,2022,100.0,0.1487,17.6215,0.0019,30.26997673,0.0,7.009219803,,Greece,Europe and Central Asia,6.5015912305
LTU,2021,100.0,0.4111,6.0921,0.0019,35.18074908,33.2,8.03159339,,Lithuania,Europe and Central Asia,6.5015912305
TUR,2022,100.0,2.269,90.1147,0.0019,29.2768733,0.0,7.046888834,,Turkiye,Europe and Central Asia,6.5015912305
FRO,2023,0.0,0.0,0.0,0.002,0.0,0.0,6.494899588,,Faroe Islands,Europe and Central Asia,6.5015912305
FRO,2021,100.0,0.0,0.0,0.002,0.058394161,5.1,6.494899588,,Faroe Islands,Europe and Central Asia,6.5015912305
FRO,2022,100.0,0.0,0.0,0.002,0.058394161,7.9,6.494899588,,Faroe Islands,Europe and Central Asia,6.5015912305
TUR,2023,0.0,2.2703,95.0401,0.0022,0.0,0.0,7.107214082,,Turkiye,Europe and Central Asia,6.5015912305
LTU,2022,100.0,0.4128,6.102,0.0022,35.20364354,0.0,7.346840469,,Lithuania,Europe and Central Asia,6.5015912305
NZL,2021,100.0,0.9006,14.6516,0.0022,37.63065094,28.9,16.54418641,,New Zealand,East Asia and Pacific,3.598782713
NZL,2022,100.0,0.9036,14.8641,0.0022,37.71936349,0.0,16.29582584,,New Zealand,East Asia and Pacific,3.598782713
BEL,2023,0.0,0.0296,21.9509,0.0023,0.0,0.0,9.024041981,,Belgium,Europe and Central Asia,6.5015912305
DZA,2021,99.8,0.1117,43.3215,0.0023,0.822227648,0.1,5.673357126,,Algeria,Middle East and North Africa,5.673357126
DZA,2022,100.0,0.101,44.4738,0.0023,0.826332964,0.0,5.787845472,,Algeria,Middle East and North Africa,5.673357126
AZE,2023,0.0,0.1408,8.3202,0.0024,0.0,0.0,6.160188963,,Azerbaijan,Europe and Central Asia,6.5015912305
DZA,2023,0.0,0.0931,46.5578,0.0024,0.0,0.0,5.562578672,,Algeria,Middle East and North Africa,5.673357126
MDA,2023,0.0,0.1121,2.359,0.0024,0.0,0.0,5.510006376,,Moldova,Europe and Central Asia,6.5015912305
AZE,2021,100.0,0.1326,7.6891,0.0024,13.83299093,1.3,5.621188133,,Azerbaijan,Europe and Central Asia,6.5015912305
AZE,2022,100.0,0.1363,8.0685,0.0024,13.97248155,0.0,5.820126219,,Azerbaijan,Europe and Central Asia,6.5015912305
BEL,2022,100.0,0.0361,23.1126,0.0024,22.60444678,0.0,9.612815181,,Belgium,Europe and Central Asia,6.5015912305
MDA,2021,100.0,0.1132,2.2322,0.0024,11.72277828,21.4,5.087277223,,Moldova,Europe and Central Asia,6.5015912305
MDA,2022,100.0,0.1127,2.3413,0.0024,11.75129219,0.0,5.123160385,,Moldova,Europe and Central Asia,6.5015912305
LTU,2023,0.0,0.4147,6.2005,0.0025,0.0,0.0,7.202886211,,Lithuania,Europe and Central Asia,6.5015912305
BOL,2021,98.6,0.0,11.1754,0.0025,46.72830546,12.8,4.365161141,,Bolivia,Latin America and the Caribbean,3.523066439
BGR,2021,99.8,0.8412,9.6151,0.0025,35.98010317,20.4,8.728139449,,Bulgaria,Europe and Central Asia,6.5015912305
BOL,2023,0.0,0.0,11.9119,0.0026,0.0,0.0,4.507104163,,Bolivia,Latin America and the Caribbean,3.523066439
BOL,2022,99.9,0.0,11.5908,0.0026,46.53968836,0.0,4.430058605,,Bolivia,Latin America and the Caribbean,3.523066439
BEL,2021,100.0,0.0365,22.9232,0.0026,22.60444678,11.7,10.33580912,,Belgium,Europe and Central Asia,6.5015912305
