country_code,year,ElectricityAccess_PercentofPopulation,CO2Emissions_Agriculture,CO2Emissions_TransportEnergy,CO2Emissions_Waste,ForestArea_PercentofLand,RenewableEnergy_Consumption_Percent,GreenhouseGasEmissions_TotalperCapita,id,country_name,region,regional_median
CHN,2022,100.0,15.4808,929.0863,3.5582,23.83173363,0.0,10.7349599,,China,East Asia and Pacific,3.598782713
COL,2021,100.0,0.6514,34.5744,0.0185,53.12539585,29.7,4.064929217,,Colombia,Latin America and the Caribbean,3.523066439
COL,2022,100.0,0.6454,36.0946,0.0187,52.94577639,0.0,4.118951847,,Colombia,Latin America and the Caribbean,3.523066439
CZE,2021,100.0,0.159,18.8332,0.0569,34.70669802,17.2,11.74900807,,Czechia,Europe and Central Asia,6.5015912305
CZE,2022,100.0,0.1471,19.3176,0.0566,34.73694318,0.0,11.61259649,,Czechia,Europe and Central Asia,6.5015912305
DEU,2021,100.0,0.6946,147.2432,0.0649,32.68267552,17.6,9.417374218,,Germany,Europe and Central Asia,6.5015912305
DEU,2022,100.0,0.6193,147.7071,0.0448,32.68548202,0.0,9.093100508,,Germany,Europe and Central Asia,6.5015912305
ECU,2021,100.0,0.5443,19.1629,0.0046,50.06265099,18.9,3.881005431,,Ecuador,Latin America and the Caribbean,3.523066439
ECU,2022,100.0,0.5446,20.4313,0.0046,49.80387341,0.0,3.964576321,,Ecuador,Latin America and the Caribbean,3.523066439
ESP,2021,100.0,0.9753,86.5391,3.9722,37.17275211,19.0,6.508282873,,Spain,Europe and Central Asia,6.5015912305
ESP,2022,100.0,0.9141,92.9329,4.0727,37.18279228,0.0,6.383833189,,Spain,Europe and Central Asia,6.5015912305
FRA,2021,100.0,2.0937,118.914,2.3027,31.66136128,16.2,6.330623594,,France,Europe and Central Asia,6.5015912305
FRA,2022,100.0,1.9855,123.3696,2.3177,31.81367419,0.0,6.113451969,,France,Europe and Central Asia,6.5015912305
GBR,2021,100.0,1.5625,104.3231,0.0573,13.22145538,12.2,6.260740188,,United Kingdom,Europe and Central Asia,6.5015912305
GBR,2022,100.0,1.4518,107.0033,0.0558,13.25548712,0.0,5.996658849,,United Kingdom,Europe and Central Asia,6.5015912305
GRC,2021,100.0,0.1483,15.9518,0.0021,30.26997673,21.5,6.913091966,,Greece,Europe and Central Asia,6.5015912305
GRL,2022,100.0,0.0,0.0954,0.0011,0.000535997,11.7,11.30936623,,Greenland,Europe and Central Asia,6.5015912305
