country_code,year,LifeExpectancy_Female,LifeExpectancy_Male,LifeExpectancy_Total,LiteracyRate_AdultTotal,LiteracyRate_YouthTotal,Multidim_PovertyHeadcountRatio_UNDP,Multidim_PovertyHeadcountRatio_WorldBank,Water_BasicDrinkingServices_PercentofPop,Water_SafelyManagedDrinkingServices_PercentofPop,Water_BasicHandwashing_PercentofPop,Poverty_HeadcountRatio_NationalPovertyLines_Percent,Poverty_HeadcountRatio_SocietalPovertyLines_Percent,Unemployment_AdvancedEducation_Percent,Unemployment_BasicEducation_Percent,Unemployment_IntermediateEducation_Percent,Unemployment_Total_Percent,Unemployment_YouthTotal_Percent,country_name,region,Unemployment_AdvanceEducation_Percent
IDA,2022,66.25572874,61.85465438,64.00743325,69.15470123,80.54106903,0.0,0.0,73.64043398,35.39246014,42.55022518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IDA total,Other summary,0.0
IDA,2023,0.0,0.0,0.0,69.51500702,80.83972168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IDA total,Other summary,0.0
IDB,2021,62.40623462,59.0679377,60.68238881,67.16327667,78.39800262,0.0,0.0,81.31197957,41.79402504,55.4245608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IDA blend,Other summary,0.0
IDB,2022,62.98078022,59.69237867,61.28943344,67.52667236,78.83453369,0.0,0.0,82.15692307,42.52727004,56.59246627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IDA blend,Other summary,0.0
IDB,2023,0.0,0.0,0.0,67.8960495,79.26641083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IDA blend,Other summary,0.0
IDN,2021,69.744,65.533,67.57,0.0,0.0,0.0,3.3,93.35176582,29.99125244,78.81205632,10.1,26.2,4.43,2.252,6.704,3.827,13.867,Indonesia,East Asia and Pacific,4.43
IDN,2022,70.437,66.181,68.25,0.0,0.0,0.0,2.6,94.10719255,30.26616672,78.98522122,9.5,24.6,4.097,1.985,6.269,3.462,14.141,Indonesia,East Asia and Pacific,4.097
IDN,2023,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,9.4,23.6,3.571,2.051,5.792,3.308,13.119,Indonesia,East Asia and Pacific,3.571
IDX,2021,67.13059021,62.36571715,64.70288799,69.53566742,81.04811859,0.0,0.0,68.82990275,31.08317331,35.17992591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IDA only,Other summary,0.0
IDX,2022,67.86437708,62.95151441,65.36422242,69.94486237,81.37976837,0.0,0.0,69.38575662,31.22589408,35.041245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IDA only,Other summary,0.0
IDX,2023,0.0,0.0,0.0,70.30046082,81.61519623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IDA only,Other summary,0.0
IMN,2021,82.531,78.564,80.525,0.0,0.0,0.0,0.0,99.74742984,99.36953147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Isle of Man,Europe and Central Asia,0.0
IMN,2022,82.732,78.833,80.762,0.0,0.0,0.0,0.0,99.88385161,99.70983139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Isle of Man,Europe and Central Asia,0.0
IMN,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Isle of Man,Europe and Central Asia,0.0
IND,2021,68.886,65.756,67.24,0.0,0.0,0.0,0.0,92.72465388,0.0,74.23072608,0.0,33.1,15.781,4.877,9.571,6.38,20.684,India,South Asia,13.638609954499998
IND,2022,69.384,66.257,67.744,76.0,97.0,0.0,0.0,93.29909578,0.0,76.26479313,0.0,0.0,14.3,3.095,8.06,4.822,17.856,India,South Asia,13.638609954499998
IND,2023,0.0,0.0,0.0,77.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.316,2.473,5.991,4.172,15.469,India,South Asia,13.316
INX,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not classified,Not Classified,0.0
INX,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not classified,Not Classified,0.0
INX,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not classified,Not Classified,0.0
IRL,2021,84.3,80.5,82.35365854,0.0,0.0,0.0,16.1,95.99583147,95.99583147,0.0,14.0,7.8,4.128,10.182,8.155,6.364,15.616,Ireland,Europe and Central Asia,4.128
IRL,2022,84.9,81.3,83.05609756,0.0,0.0,0.0,0.0,95.99140504,95.99140504,0.0,0.0,0.0,3.336,8.298,5.114,4.501,9.339,Ireland,Europe and Central Asia,3.336
IRL,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.914,8.337,4.929,4.288,10.654,Ireland,Europe and Central Asia,2.914
IRN,2021,76.808,71.246,73.875,0.0,0.0,0.0,0.8,97.57192402,94.08863277,0.0,0.0,21.1,13.763,6.437,10.033,9.282,23.708,"Iran, Islamic Rep.",Middle East and North Africa,13.638609954499998
IRN,2022,77.453,71.93,74.556,88.95999908,98.80999756,0.0,0.5,97.69118664,94.22125147,0.0,0.0,20.0,12.942,6.698,9.507,9.085,22.63,"Iran, Islamic Rep.",Middle East and North Africa,12.942
IRN,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Iran, Islamic Rep.",Middle East and North Africa,0.0
IRQ,2021,72.422,68.2,70.378,0.0,0.0,0.0,0.0,98.37115437,59.70278242,86.3916021955,0.0,0.0,18.841,14.662,13.117373194999997,12.106749999999998,28.631149999999998,Iraq,Middle East and North Africa,13.638609954499998
IRQ,2022,73.362,69.162,71.336,0.0,0.0,0.0,0.0,98.38285248,59.74263127,86.3916021955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iraq,Middle East and North Africa,0.0
IRQ,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iraq,Middle East and North Africa,0.0
ISL,2021,84.6,81.8,83.16585366,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,4.081,9.959,5.883,6.029,12.069,Iceland,Europe and Central Asia,4.081
ISL,2022,83.4,81.0,82.17073171,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,2.447,7.29,3.165,3.789,8.652,Iceland,Europe and Central Asia,2.447
ISL,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.261,6.762,3.058,3.518,8.76,Iceland,Europe and Central Asia,2.261
ISR,2021,84.6,80.5,82.5,0.0,0.0,0.0,0.3,100.0,99.48556442,0.0,0.0,22.2,3.457,7.377,5.5,4.812,7.682,Israel,Middle East and North Africa,3.457
ISR,2022,84.8,80.7,82.7,0.0,0.0,0.0,0.0,100.0,99.47115604,0.0,0.0,0.0,2.448,6.873,4.204,3.695,6.765,Israel,Middle East and North Africa,2.448
ISR,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.399,5.874,3.751,3.371,5.917,Israel,Middle East and North Africa,2.399
ITA,2021,84.9,80.5,82.64634146,0.0,0.0,0.0,2.4,99.91703407,92.71055756,0.0,20.1,16.6,5.049,13.229,9.203,9.497,28.631149999999998,Italy,Europe and Central Asia,5.049
ITA,2022,85.0,80.9,82.9,0.0,0.0,0.0,0.0,99.91703407,92.71055756,0.0,0.0,0.0,4.087,11.549,7.753,8.069,23.703,Italy,Europe and Central Asia,4.087
ITA,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82,11.258,7.396,7.627,22.726,Italy,Europe and Central Asia,3.82
JAM,2021,72.543,68.469,70.5,0.0,0.0,0.0,0.7,91.06403594,0.0,0.0,16.7,22.0,2.821,2.921,6.808,5.188,15.614,Jamaica,Latin America and the Caribbean,2.821
JAM,2022,72.737,68.532,70.629,0.0,93.56999969,0.0,0.0,91.09963332,0.0,0.0,0.0,0.0,2.142,2.146,5.476,4.083,12.029,Jamaica,Latin America and the Caribbean,2.142
JAM,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.682,1.389,4.038,3.022,9.076,Jamaica,Latin America and the Caribbean,1.682
JOR,2021,76.773,72.128,74.256,0.0,0.0,0.0,0.0,98.96502866,85.71292166,0.0,0.0,0.0,27.9,16.096449999999997,11.773,12.106749999999998,28.631149999999998,Jordan,Middle East and North Africa,13.638609954499998
JOR,2022,76.675,72.12,74.215,0.0,0.0,0.0,0.0,98.96938517,85.70913102,0.0,0.0,0.0,27.495,16.096449999999997,10.979,12.106749999999998,28.631149999999998,Jordan,Middle East and North Africa,13.638609954499998
JOR,2023,0.0,0.0,0.0,95.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.603,16.096449999999997,9.058,12.106749999999998,28.631149999999998,Jordan,Middle East and North Africa,13.638609954499998
JPN,2021,87.57,81.47,84.44560976,0.0,0.0,0.0,0.0,99.13674217,98.6585502,0.0,0.0,0.0,0.0,0.0,0.0,2.809,4.707,Japan,East Asia and Pacific,0.0
JPN,2022,87.09,81.05,83.99634146,0.0,0.0,0.0,0.0,99.13674217,98.6585502,0.0,0.0,0.0,0.0,0.0,0.0,2.615,4.438,Japan,East Asia and Pacific,0.0
JPN,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,4.1,Japan,East Asia and Pacific,0.0
KAZ,2021,74.03,66.33,70.23,0.0,0.0,0.0,0.0,95.44405932,89.34996923,0.0,5.2,8.3,0.0,0.0,0.0,0.0,0.0,Kazakhstan,Europe and Central Asia,0.0
KAZ,2022,78.41,70.26,74.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,4.86,3.81,Kazakhstan,Europe and Central Asia,0.0
KAZ,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kazakhstan,Europe and Central Asia,0.0
KEN,2021,64.09,58.935,61.427,0.0,0.0,0.0,38.5,62.19883728,0.0,37.54742265,38.6,45.7,8.619,3.731,7.981,5.693,12.425,Kenya,Sub-Saharan Africa,8.619
KEN,2022,64.686,59.579,62.055,82.87999725,95.72988892,0.0,0.0,62.86177758,0.0,37.59923839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kenya,Sub-Saharan Africa,0.0
KEN,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kenya,Sub-Saharan Africa,0.0
KGZ,2021,76.1,67.9,71.9,0.0,0.0,0.0,0.7,90.75355704,76.4097769,0.0,33.3,19.5,0.0,0.0,0.0,5.149,11.665,Kyrgyz Republic,Europe and Central Asia,0.0
KGZ,2022,76.3,68.0,72.04878049,0.0,0.0,0.0,0.3,90.79580709,76.4871521,0.0,0.0,19.5,0.0,0.0,0.0,4.767,10.953,Kyrgyz Republic,Europe and Central Asia,0.0
KGZ,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kyrgyz Republic,Europe and Central Asia,0.0
KHM,2021,72.291,66.819,69.584,71.92725372,91.83219147,16.6,0.0,77.06604334,28.46830325,81.20646675,0.0,0.0,0.0,0.491,0.0,0.396,0.833,Cambodia,East Asia and Pacific,0.0
KHM,2022,72.622,67.117,69.896,83.77999878,95.97000122,0.0,0.0,78.00650418,29.13127957,83.35053189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cambodia,East Asia and Pacific,0.0
KHM,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cambodia,East Asia and Pacific,0.0
KIR,2021,69.096,65.504,67.417,0.0,0.0,0.0,0.0,74.8564949,14.19515155,55.62993969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kiribati,East Asia and Pacific,0.0
KIR,2022,69.386,65.731,67.661,0.0,0.0,0.0,0.0,75.69410554,14.41407467,55.68317547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kiribati,East Asia and Pacific,0.0
KIR,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kiribati,East Asia and Pacific,0.0
KNA,2021,75.341,68.346,71.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St. Kitts and Nevis,Latin America and the Caribbean,0.0
KNA,2022,75.666,68.682,72.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St. Kitts and Nevis,Latin America and the Caribbean,0.0
KNA,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,St. Kitts and Nevis,Latin America and the Caribbean,0.0
KOR,2021,86.6,80.6,83.52682927,0.0,0.0,0.0,0.1,99.92958764,99.21021813,0.0,0.0,14.2,3.627,3.78,3.574,3.639,8.125,"Korea, Rep.",East Asia and Pacific,3.627
KOR,2022,85.6,79.9,82.6804878,0.0,0.0,0.0,0.0,100.0,99.2801236,0.0,0.0,0.0,2.87,2.926,2.796,2.857,6.701,"Korea, Rep.",East Asia and Pacific,2.87
KOR,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.746,2.842,2.49,2.675,5.437,"Korea, Rep.",East Asia and Pacific,2.746
KWT,2021,81.463,77.192,78.673,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kuwait,Middle East and North Africa,0.0
KWT,2022,82.752,78.878,80.264,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kuwait,Middle East and North Africa,0.0
KWT,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kuwait,Middle East and North Africa,0.0
LAC,2021,75.42890146,68.5698317,71.89255761,94.23220062,98.54428864,0.0,0.0,97.59529373,67.95111936,0.0,0.0,0.0,7.991436362,12.52065704,13.117373194999997,9.280397251,18.43093872,Latin America & Caribbean (excluding high income),Region Summary,7.991436362
LAC,2022,76.74259962,70.54254211,73.60916691,94.39636993,98.60072327,0.0,0.0,97.72854183,68.25041207,0.0,0.0,0.0,5.606333418,9.349796126,9.546938835,6.895055181,14.48894421,Latin America & Caribbean (excluding high income),Region Summary,5.606333418
LAC,2023,0.0,0.0,0.0,94.54627228,98.6346817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.984284003,8.163866587,8.28311428,6.043108143,12.86536161,Latin America & Caribbean (excluding high income),Region Summary,4.984284003
LAO,2021,70.078,66.154,68.061,0.0,0.0,0.0,0.0,85.34039989,17.77669824,55.81001562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lao PDR,East Asia and Pacific,0.0
LAO,2022,71.164,66.94,68.999,87.51999664,94.51000214,0.0,0.0,85.4618004,17.87207557,0.0,0.0,0.0,2.796,0.94,1.963,1.209,2.258,Lao PDR,East Asia and Pacific,2.796
LAO,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lao PDR,East Asia and Pacific,0.0
LBN,2021,77.251,72.847,75.047,0.0,0.0,0.0,0.0,92.6,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lebanon,Middle East and North Africa,0.0
LBN,2022,76.597,72.237,74.416,0.0,0.0,0.0,0.0,92.6,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lebanon,Middle East and North Africa,0.0
LBN,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lebanon,Middle East and North Africa,0.0
LBR,2021,62.072,59.411,60.747,0.0,0.0,0.0,0.0,75.13533668,0.0,3.171951573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liberia,Sub-Saharan Africa,0.0
LBR,2022,62.392,59.796,61.1,0.0,0.0,0.0,0.0,75.61013152,0.0,3.440188936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liberia,Sub-Saharan Africa,0.0
LBR,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liberia,Sub-Saharan Africa,0.0
LBY,2021,74.396,69.63,71.911,0.0,0.0,0.0,0.0,99.8915238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya,Middle East and North Africa,0.0
LBY,2022,74.759,69.736,72.151,0.0,0.0,0.0,0.0,99.8915238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya,Middle East and North Africa,0.0
LBY,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Libya,Middle East and North Africa,0.0
LCA,2021,74.717,67.838,71.111,0.0,0.0,0.0,0.0,96.88823302,0.0,0.0,0.0,0.0,13.422,16.096449999999997,0.0,12.106749999999998,28.631149999999998,St. Lucia,Latin America and the Caribbean,13.422
LCA,2022,74.887,68.005,71.294,0.0,0.0,0.0,0.0,96.88866058,0.0,0.0,0.0,0.0,7.82,16.096449999999997,13.117373194999997,12.106749999999998,28.631149999999998,St. Lucia,Latin America and the Caribbean,7.82
LCA,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.297,15.413,0.0,12.094,28.631149999999998,St. Lucia,Latin America and the Caribbean,6.297
LCN,2021,75.69284485,68.79189538,72.1362094,94.49382019,98.54633331,0.0,0.0,97.48328063,75.35588689,0.0,0.0,26.8,7.97814167,12.39073528,13.09938767,9.272363985,18.57617003,Latin America & Caribbean,Region Summary,7.97814167
LCN,2022,76.93127723,70.64417468,73.75012134,94.64691925,98.59947205,0.0,0.0,97.59603261,75.21368485,0.0,0.0,25.8,5.64593298,9.305606802,9.513773486,6.947386312,14.67435984,Latin America & Caribbean,Region Summary,5.64593298
LCN,2023,0.0,0.0,0.0,94.79000854,98.63147736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.061545589,8.237717624,8.369707592,6.159855089,13.20127535,Latin America & Caribbean,Region Summary,5.061545589
LDC,2021,66.59580066,61.84487702,64.17534092,66.8311615,79.57303619,0.0,0.0,66.37156001,28.33948225,32.1566443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Least developed countries: UN classification,Other summary,0.0
LDC,2022,67.35481126,62.48981494,64.88027325,67.31300354,79.98713684,0.0,0.0,66.94596368,28.47206454,32.01409831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Least developed countries: UN classification,Other summary,0.0
LDC,2023,0.0,0.0,0.0,67.71456909,80.29020691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Least developed countries: UN classification,Other summary,0.0
LIC,2021,65.05354155,60.0570498,62.50534506,62.18141174,74.10439301,0.0,0.0,58.20619395,28.09101496,20.808595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low income,Other summary,0.0
LIC,2022,65.5730189,60.55556786,63.01878282,62.63246155,74.62078094,0.0,0.0,59.0092763,28.60294834,21.04264004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low income,Other summary,0.0
LIC,2023,0.0,0.0,0.0,63.03852844,75.0418396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low income,Other summary,0.0
LIE,2021,86.4,82.5,84.40243902,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liechtenstein,Europe and Central Asia,0.0
LIE,2022,85.6,83.1,84.3195122,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liechtenstein,Europe and Central Asia,0.0
LIE,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liechtenstein,Europe and Central Asia,0.0
LKA,2021,79.502,73.11,76.399,92.0,99.0,0.0,0.0,89.00221413,47.35929945,85.32978293,0.0,0.0,3.865,3.145,8.749,4.981,25.884,Sri Lanka,South Asia,3.865
LKA,2022,80.23,72.851,76.61,92.0,99.0,0.0,0.0,89.31010729,47.12753287,85.34633237,0.0,0.0,5.366,3.112,7.123,4.528,22.074,Sri Lanka,South Asia,5.366
LKA,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,South Asia,0.0
