Country Code,Year,Series Name,Series Code,Value
AFW,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
AFW,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AFW,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
AGO,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,1.188834705
AGO,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
AGO,2021,Classification of national industry,SPI.D5.2.3.CNIN,1
AGO,2021,Classification of status of employment,SPI.D5.2.6.EMPL,0
AGO,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
AGO,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AGO,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,631.4419555
AGO,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,1.663746817
AGO,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
AGO,2022,Classification of national industry,SPI.D5.2.3.CNIN,1
AGO,2022,Classification of status of employment,SPI.D5.2.6.EMPL,0
AGO,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
AGO,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AGO,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,460.5675116
AGO,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,1.53531021
AGO,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
AGO,2023,Classification of national industry,SPI.D5.2.3.CNIN,1
AGO,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
AGO,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
AGO,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
AGO,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,685.0202378
ALB,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,2.712734022
ALB,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
ALB,2021,Classification of national industry,SPI.D5.2.3.CNIN,1
ALB,2021,Classification of status of employment,SPI.D5.2.6.EMPL,1
ALB,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
ALB,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
ALB,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,103.52
ALB,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,2.787183515
ALB,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
ALB,2022,Classification of national industry,SPI.D5.2.3.CNIN,1
ALB,2022,Classification of status of employment,SPI.D5.2.6.EMPL,1
ALB,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
ALB,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
ALB,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,113.0416667
ALB,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,2.61383448
ALB,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
ALB,2023,Classification of national industry,SPI.D5.2.3.CNIN,1
ALB,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
ALB,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
ALB,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
ALB,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,100.645
AND,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AND,2021,Classification of household consumption,SPI.D5.2.5.HOUS,0
AND,2021,Classification of national industry,SPI.D5.2.3.CNIN,0
AND,2021,Classification of status of employment,SPI.D5.2.6.EMPL,1
AND,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
AND,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,0
AND,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.845376564
AND,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AND,2022,Classification of household consumption,SPI.D5.2.5.HOUS,0
AND,2022,Classification of national industry,SPI.D5.2.3.CNIN,0
AND,2022,Classification of status of employment,SPI.D5.2.6.EMPL,1
AND,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
AND,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,0
AND,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.950915534
AND,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
AND,2023,Classification of household consumption,SPI.D5.2.5.HOUS,0
AND,2023,Classification of national industry,SPI.D5.2.3.CNIN,0
AND,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
AND,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
AND,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,0
AND,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.924709623
ARB,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
ARB,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
ARB,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
ARB,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
ARB,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
ARB,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0
ARE,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,3.245981874
ARE,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
ARE,2021,Classification of national industry,SPI.D5.2.3.CNIN,1
ARE,2021,Classification of status of employment,SPI.D5.2.6.EMPL,1
ARE,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,1
