Country Code,Year,Series Name,Series Code,Value
AFE,2023,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,122.059
AFE,2023,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0.0032
AFE,2023,Forest area (% of land area),AG.LND.FRST.ZS,0
AFE,2023,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
AFE,2023,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.958972201
AFG,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.7
AFG,2021,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.0467
AFG,2021,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,2.1142
AFG,2021,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
AFG,2021,Forest area (% of land area),AG.LND.FRST.ZS,1.852781994
AFG,2021,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,20
AFG,2021,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,0.691070382
AFG,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.3
AFG,2022,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.0236
AFG,2022,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,2.2472
AFG,2022,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
AFG,2022,Forest area (% of land area),AG.LND.FRST.ZS,1.852781994
AFG,2022,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,20
AFG,2022,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,0.705148264
AFG,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,0
AFG,2023,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.0151
AFG,2023,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,2.3412
AFG,2023,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
AFG,2023,Forest area (% of land area),AG.LND.FRST.ZS,0
AFG,2023,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
AFG,2023,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,0.710656612
AFW,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,54.36859871
