Country Code,Year,Series Name,Series Code,Value
ABW,2021,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,24.13262736
ABW,2021,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,668842625.7
ABW,2021,Gini index,SI.POV.GINI,0
ABW,2021,Gross national expenditure (current US$),NE.DAB.TOTL.CD,3091605811
ABW,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0
ABW,2021,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,-4.912624904
ABW,2021,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,-4.912624904
ABW,2021,Military expenditure (current USD),MS.MIL.XPND.CD,0
ABW,2021,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,-937882882.1
ABW,2021,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,253587682.8
ABW,2021,Trade (% of GDP),NE.TRD.GNFS.ZS,147.0155761
ABW,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,101.1957269
ABW,2022,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-124694278.1
ABW,2022,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,7.567071864
ABW,2022,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,248150282.6
ABW,2022,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,3.764656031
ABW,2022,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,123456004.5
ABW,2022,GDP (current US$),NY.GDP.MKTP.CD,3279343544
ABW,2022,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.517918105
ABW,2022,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,695475453.1
ABW,2022,Gini index,SI.POV.GINI,0
ABW,2022,Gross national expenditure (current US$),NE.DAB.TOTL.CD,3205348811
ABW,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0
ABW,2022,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.157279394
ABW,2022,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.157279394
ABW,2022,Military expenditure (current USD),MS.MIL.XPND.CD,0
ABW,2022,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,-1165472109
ABW,2022,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,423839378.9
ABW,2022,Trade (% of GDP),NE.TRD.GNFS.ZS,172.8841711
ABW,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,113.0012868
ABW,2023,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,0
ABW,2023,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.506331286
ABW,2023,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,91445330
ABW,2023,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,2.506331286
ABW,2023,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,91445330
ABW,2023,GDP (current US$),NY.GDP.MKTP.CD,3648573136
ABW,2023,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.263719415
ABW,2023,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,713751151
ABW,2023,Gini index,SI.POV.GINI,0
ABW,2023,Gross national expenditure (current US$),NE.DAB.TOTL.CD,3397212355
ABW,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0
ABW,2023,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,6.709461177
ABW,2023,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,6.709461177
ABW,2023,Military expenditure (current USD),MS.MIL.XPND.CD,0
ABW,2023,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,0
ABW,2023,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,0
ABW,2023,Trade (% of GDP),NE.TRD.GNFS.ZS,169.7982829
ABW,2023,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,0
AFE,2021,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,0
AFE,2021,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,5.01205928
AFE,2021,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,53552809031
AFE,2021,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.02350388
AFE,2021,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,207504807.2
AFE,2021,GDP (current US$),NY.GDP.MKTP.CD,1.08575E+12
AFE,2021,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.576392802
AFE,2021,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,1.59075E+11
AFE,2021,Gini index,SI.POV.GINI,0
AFE,2021,Gross national expenditure (current US$),NE.DAB.TOTL.CD,1.08562E+12
AFE,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.240977656
AFE,2021,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,6.222699123
AFE,2021,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,0
AFE,2021,Military expenditure (current USD),MS.MIL.XPND.CD,11431680117
AFE,2021,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,0
AFE,2021,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,0
AFE,2021,Trade (% of GDP),NE.TRD.GNFS.ZS,55.5623958
AFE,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.40153034
AFE,2022,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,0
AFE,2022,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.695913629
AFE,2022,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,19894922745
AFE,2022,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.433241671
AFE,2022,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,3965472614
AFE,2022,GDP (current US$),NY.GDP.MKTP.CD,1.19142E+12
AFE,2022,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.553878364
AFE,2022,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,1.7192E+11
AFE,2022,Gini index,SI.POV.GINI,0
AFE,2022,Gross national expenditure (current US$),NE.DAB.TOTL.CD,1.21171E+12
AFE,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,10.77375122
AFE,2022,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,9.358767324
AFE,2022,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,0
AFE,2022,Military expenditure (current USD),MS.MIL.XPND.CD,12120645095
AFE,2022,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,0
AFE,2022,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,0
AFE,2022,Trade (% of GDP),NE.TRD.GNFS.ZS,58.53616277
AFE,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.11201074
AFE,2023,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,0
AFE,2023,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.760089511
AFE,2023,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,19670867887
AFE,2023,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,-0.215581854
AFE,2023,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,-1878527313
AFE,2023,GDP (current US$),NY.GDP.MKTP.CD,1.24547E+12
AFE,2023,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.320137802
AFE,2023,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,1.73448E+11
AFE,2023,Gini index,SI.POV.GINI,0
AFE,2023,Gross national expenditure (current US$),NE.DAB.TOTL.CD,1.28069E+12
AFE,2023,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.126974821
AFE,2023,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,7.801229891
AFE,2023,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,0
AFE,2023,Military expenditure (current USD),MS.MIL.XPND.CD,13370597081
AFE,2023,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,0
AFE,2023,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,0
AFE,2023,Trade (% of GDP),NE.TRD.GNFS.ZS,56.87239246
AFE,2023,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.4441942
AFG,2021,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,0
AFG,2021,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.215925455
AFG,2021,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,30790960
AFG,2021,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.215925455
AFG,2021,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,30790960
AFG,2021,GDP (current US$),NY.GDP.MKTP.CD,14259995441
AFG,2021,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-20.73883937
AFG,2021,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,3032015044
AFG,2021,Gini index,SI.POV.GINI,0
AFG,2021,Gross national expenditure (current US$),NE.DAB.TOTL.CD,17502819239
AFG,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0
AFG,2021,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.838996251
AFG,2021,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2.838996251
AFG,2021,Military expenditure (current USD),MS.MIL.XPND.CD,278250788
AFG,2021,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,0
AFG,2021,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,0
AFG,2021,Trade (% of GDP),NE.TRD.GNFS.ZS,51.41171637
AFG,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,0
AFG,2022,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,0
AFG,2022,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0
AFG,2022,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,0
AFG,2022,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0
AFG,2022,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,0
AFG,2022,GDP (current US$),NY.GDP.MKTP.CD,14497243872
AFG,2022,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-6.240171992
AFG,2022,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,3166994239
AFG,2022,Gini index,SI.POV.GINI,0
AFG,2022,Gross national expenditure (current US$),NE.DAB.TOTL.CD,19739011036
AFG,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0
AFG,2022,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,9.406239339
AFG,2022,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,9.406239339
AFG,2022,Military expenditure (current USD),MS.MIL.XPND.CD,0
AFG,2022,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,0
AFG,2022,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,0
