country_code,year,BroadMoney_Ratio,Classification_HouseholdConsumption,Classification_NationalIndustry,Classification_StatusofEmployment,GovernmentFinance_Stats,MonetaryandFinancial_Stats,OfficialExchangeRate,country_name,region
TON,2023,0.927044859,1.0,0.0,1.0,0.0,1.0,2.363698818,Tonga,East Asia and Pacific
TUV,2021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Tuvalu,East Asia and Pacific
TUV,2022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Tuvalu,East Asia and Pacific
TUV,2023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Tuvalu,East Asia and Pacific
VEN,2021,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"Venezuela, RB",Latin America and the Caribbean
VEN,2022,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"Venezuela, RB",Latin America and the Caribbean
VEN,2023,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"Venezuela, RB",Latin America and the Caribbean
VGB,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,British Virgin Islands,Latin America and the Caribbean
VGB,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,British Virgin Islands,Latin America and the Caribbean
VGB,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,British Virgin Islands,Latin America and the Caribbean
VIR,2021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Virgin Islands (U.S.),Latin America and the Caribbean
VIR,2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Virgin Islands (U.S.),Latin America and the Caribbean
VIR,2023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Virgin Islands (U.S.),Latin America and the Caribbean
VUT,2021,1.415102761,1.0,0.0,1.0,0.0,1.0,109.4525,Vanuatu,East Asia and Pacific
VUT,2022,1.500162753,1.0,0.0,1.0,0.0,1.0,115.3539167,Vanuatu,East Asia and Pacific
VUT,2023,1.526698014,1.0,0.0,1.0,0.0,1.0,119.1125,Vanuatu,East Asia and Pacific
ARG,2021,3.770809452,1.0,0.5,1.0,0.0,0.0,94.99074167,Argentina,Latin America and the Caribbean
ARG,2022,4.556149155,1.0,0.5,1.0,0.0,0.0,130.61655,Argentina,Latin America and the Caribbean
ARG,2023,9.456492818,1.0,0.5,1.0,0.0,1.0,296.2580417,Argentina,Latin America and the Caribbean
ATG,2021,4.044950441,1.0,0.5,0.0,0.0,1.0,2.7,Antigua and Barbuda,Latin America and the Caribbean
ATG,2022,3.921489869,1.0,0.5,0.0,0.0,1.0,2.7,Antigua and Barbuda,Latin America and the Caribbean
